Series Code,Topic,Dataset,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Reference period,Aggregation method,Limitations and exceptions,General comments,Source,Statistical concept and methodology,Development relevance
WP11655.2,2011 Variables,Global Findex,"Borrowed from a private informal lender, male (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (male, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11655.5,2011 Variables,Global Findex,"Borrowed from a private informal lender, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (% age 25+). [w1: data are available for wave 1].,Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (% age 25+). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11655.6,2011 Variables,Global Findex,"Borrowed from a private informal lender, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11655.10,2011 Variables,Global Findex,"Borrowed from a private informal lender, rural (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11655.7,2011 Variables,Global Findex,"Borrowed from a private informal lender, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11655.4,2011 Variables,Global Findex,"Borrowed from a private informal lender, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (% ages 15-24). [w1: data are available for wave 1].,Denotes the percentage of respondents who report borrowing any money from a private lender in the past 12 months (% ages 15-24). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11652.1,2011 Variables,Global Findex,Borrowed from a store by buying on credit (% age 15+) [w1],Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (% age 15+). [w1: data are available for wave 1].,Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (% age 15+). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11652.3,2011 Variables,Global Findex,"Borrowed from a store by buying on credit, female (% age 15+) [w1]","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (female, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (female, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11652.8,2011 Variables,Global Findex,"Borrowed from a store by buying on credit, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (income, poorest 40%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11652.9,2011 Variables,Global Findex,"Borrowed from a store by buying on credit, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (income, richest 60%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11652.2,2011 Variables,Global Findex,"Borrowed from a store by buying on credit, male (% age 15+) [w1]","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (male, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (male, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11652.5,2011 Variables,Global Findex,"Borrowed from a store by buying on credit, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (% age 25+). [w1: data are available for wave 1].,Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (% age 25+). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11652.6,2011 Variables,Global Findex,"Borrowed from a store by buying on credit, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (primary education or less, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (primary education or less, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11652.10,2011 Variables,Global Findex,"Borrowed from a store by buying on credit, rural (% age 15+) [w1]","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (rural, % age 15+ ). [w1: data are available for wave 1].","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (rural, % age 15+ ). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11652.7,2011 Variables,Global Findex,"Borrowed from a store by buying on credit, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (secondary education or more, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (secondary education or more, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11652.4,2011 Variables,Global Findex,"Borrowed from a store by buying on credit, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (% ages 15-24). [w1: data are available for wave 1].,Denotes the percentage of respondents who borrowed any money in the past 12 months from a store by using installment credit or buying on credit (% ages 15-24). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11654.1,2011 Variables,Global Findex,Borrowed from an employer (% age 15+) [w1],Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (% age 15+). [w1: data are available for wave 1].,Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (% age 15+). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11654.3,2011 Variables,Global Findex,"Borrowed from an employer, female (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (female, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11654.8,2011 Variables,Global Findex,"Borrowed from an employer, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11654.9,2011 Variables,Global Findex,"Borrowed from an employer, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (income, richest 60%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11654.2,2011 Variables,Global Findex,"Borrowed from an employer, male (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (male, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11654.5,2011 Variables,Global Findex,"Borrowed from an employer, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (% age 25+). [w1: data are available for wave 1].,Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (% age 25+). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11654.6,2011 Variables,Global Findex,"Borrowed from an employer, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11654.10,2011 Variables,Global Findex,"Borrowed from an employer, rural (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11654.7,2011 Variables,Global Findex,"Borrowed from an employer, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11654.4,2011 Variables,Global Findex,"Borrowed from an employer, young adults (% ages 15-24) [w1]",Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (% ages 15-24). [w1: data are available for wave 1].,Denotes the percentage of respondents who report borrowing any money from an employer in the past 12 months (% ages 15-24). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11653.1,2011 Variables,Global Findex,Borrowed from family or friends (% age 15+) [w1],Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (% age 15+). [w1: data are available for wave 1].,Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (% age 15+). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11653.3,2011 Variables,Global Findex,"Borrowed from family or friends, female (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (female, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (female, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11653.8,2011 Variables,Global Findex,"Borrowed from family or friends, income, poorest 40% (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (income, poorest 40%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11653.9,2011 Variables,Global Findex,"Borrowed from family or friends, income, richest 60% (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (income, richest 60%, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (income, richest 60%, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11653.2,2011 Variables,Global Findex,"Borrowed from family or friends, male (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (male, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (male, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11653.5,2011 Variables,Global Findex,"Borrowed from family or friends, older adults (% ages 25+) [w1]",Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (% age 25+). [w1: data are available for wave 1].,Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (% age 25+). [w1: data are available for wave 1].,Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11653.6,2011 Variables,Global Findex,"Borrowed from family or friends, primary education or less (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (primary education or less, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11653.10,2011 Variables,Global Findex,"Borrowed from family or friends, rural (% age 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (rural, % age 15+ ). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
WP11653.7,2011 Variables,Global Findex,"Borrowed from family or friends, secondary education or more (% ages 15+) [w1]","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].","Denotes the percentage of respondents who report borrowing any money from family or friends in the past 12 months (secondary education or more, % age 15+). [w1: data are available for wave 1].",Percent,Triennial,2011,Weighted average,,,"Demirguc-Kunt and Klapper, 2012",,
